DateTime,KWHhh,hour,day,weekday,month,KWHhh_lag1,KWHhh_lag7,KWHhh_lag30,KWHhh_moving_average_7d
2012-02-21,0.6207828894269573,0.0,0.6666666666666666,0.16666666666666666,0.09090909090909091,0.6207828894269573,0.6207828894269573,0.6207828894269573,0.4405631128750467
2012-02-22,0.36636400322840995,0.0,0.7,0.3333333333333333,0.09090909090909091,0.6207828894269573,0.6207828894269573,0.6207828894269573,0.4405631128750467
2012-02-23,0.4084342211460854,0.0,0.7333333333333333,0.5,0.09090909090909091,0.36636400322840995,0.6207828894269573,0.6207828894269573,0.4405631128750467
2012-02-24,0.2898506860371266,0.0,0.7666666666666667,0.6666666666666666,0.09090909090909091,0.4084342211460854,0.6207828894269573,0.6207828894269573,0.4405631128750467
2012-02-25,0.2861581920903954,0.0,0.8,0.8333333333333333,0.09090909090909091,0.2898506860371266,0.6207828894269573,0.6207828894269573,0.4405631128750467
2012-02-26,0.34142453591606126,0.0,0.8333333333333334,1.0,0.09090909090909091,0.2861581920903954,0.6207828894269573,0.6207828894269573,0.4405631128750467
2012-02-27,0.3588579499596448,0.0,0.8666666666666667,0.0,0.09090909090909091,0.34142453591606126,0.6207828894269573,0.6207828894269573,0.4405631128750467
2012-02-28,0.27239709443099264,0.0,0.9,0.16666666666666666,0.09090909090909091,0.3588579499596448,0.6207828894269573,0.6207828894269573,0.3824407617239441
2012-02-29,0.2483252623083131,0.0,0.9333333333333333,0.3333333333333333,0.09090909090909091,0.27239709443099264,0.36636400322840995,0.6207828894269573,0.3627479692859764
2012-03-01,0.18416061339790152,0.0,0.0,0.5,0.1818181818181818,0.2483252623083131,0.4084342211460854,0.6207828894269573,0.3253316636538377
2012-03-02,0.19917271993543173,0.0,0.03333333333333333,0.6666666666666666,0.1818181818181818,0.18416061339790152,0.2898506860371266,0.6207828894269573,0.3102035595143118
2012-03-03,0.2047417271993543,0.0,0.06666666666666668,0.8333333333333333,0.1818181818181818,0.19917271993543173,0.2861581920903954,0.6207828894269573,0.29662058216607257
2012-03-04,0.28874092009685226,0.0,0.1,1.0,0.1818181818181818,0.2047417271993543,0.34142453591606126,0.6207828894269573,0.2878312007890582
2012-03-05,0.23066989507667468,0.0,0.13333333333333333,0.0,0.1818181818181818,0.28874092009685226,0.3588579499596448,0.6207828894269573,0.26644516483035585
2012-03-06,0.94273607748184,0.0,0.16666666666666669,0.16666666666666666,0.1818181818181818,0.23066989507667468,0.27239709443099264,0.6207828894269573,0.3782800281421786
2012-03-07,0.8284705407586762,0.0,0.2,0.3333333333333333,0.1818181818181818,0.94273607748184,0.2483252623083131,0.6207828894269573,0.47506757825781065
2012-03-08,0.4647901533494752,0.0,0.23333333333333334,0.5,0.1818181818181818,0.8284705407586762,0.18416061339790152,0.6207828894269573,0.5218859299205892
2012-03-09,0.39313962873284897,0.0,0.26666666666666666,0.6666666666666666,0.1818181818181818,0.4647901533494752,0.19917271993543173,0.6207828894269573,0.5542460690156633
2012-03-10,0.4388418079096044,0.0,0.3,0.8333333333333333,0.1818181818181818,0.39313962873284897,0.2047417271993543,0.6207828894269573,0.5933017575396465
2012-03-11,0.3570823244552057,0.0,0.3333333333333333,1.0,0.1818181818181818,0.4388418079096044,0.28874092009685226,0.6207828894269573,0.6047033794178338
2012-03-12,0.4223365617433413,0.0,0.3666666666666667,0.0,0.1818181818181818,0.3570823244552057,0.23066989507667468,0.6207828894269573,0.6366797615320656
2012-03-13,0.4223970944309926,0.0,0.4,0.16666666666666666,0.1818181818181818,0.4223365617433413,0.94273607748184,0.6207828894269573,0.5498698929183371
2012-03-14,0.4471751412429377,0.0,0.43333333333333335,0.3333333333333333,0.1818181818181818,0.4223970944309926,0.8284705407586762,0.6207828894269573,0.48625712390974307
2012-03-15,0.42659402744148495,0.0,0.4666666666666667,0.5,0.1818181818181818,0.4471751412429377,0.4647901533494752,0.6207828894269573,0.479884738254175
2012-03-16,0.4323648103309119,0.0,0.5,0.6666666666666666,0.1818181818181818,0.42659402744148495,0.39313962873284897,0.6207828894269573,0.48642880466433047
2012-03-17,0.42925746569814355,0.0,0.5333333333333333,0.8333333333333333,0.1818181818181818,0.4323648103309119,0.4388418079096044,0.6207828894269573,0.4848298172441535
2012-03-18,0.4158999192897497,0.0,0.5666666666666667,1.0,0.1818181818181818,0.42925746569814355,0.3570823244552057,0.6207828894269573,0.4946425505700811
2012-03-19,0.4178369652945923,0.0,0.6,0.0,0.1818181818181818,0.4158999192897497,0.4223365617433413,0.6207828894269573,0.49389186805492435
2012-03-20,0.4077280064568199,0.0,0.6333333333333333,0.16666666666666666,0.1818181818181818,0.4178369652945923,0.4223970944309926,0.6207828894269573,0.49144457572972733
2012-03-21,0.39055690072639215,0.0,0.6666666666666666,0.3333333333333333,0.1818181818181818,0.4077280064568199,0.4471751412429377,0.6207828894269573,0.48199876793811414
2012-03-22,0.37966101694915244,0.0,0.7,0.5,0.1818181818181818,0.39055690072639215,0.42659402744148495,0.6207828894269573,0.474168779013206
2012-03-23,0.43232445520581103,0.0,0.7333333333333333,0.6666666666666666,0.1818181818181818,0.37966101694915244,0.4323648103309119,0.36636400322840995,0.4741620464345946
2012-03-24,0.2977804681194511,0.0,0.7666666666666667,0.8333333333333333,0.1818181818181818,0.43232445520581103,0.42925746569814355,0.4084342211460854,0.45222730531907374
2012-03-25,0.07378934624697335,0.0,0.8,1.0,0.1818181818181818,0.2977804681194511,0.4158999192897497,0.2898506860371266,0.39515187014202374
